id	text	tweet
1	caixa2dobolsonaro	1053073026940583936
2	MarketeirosDoJair	1053073032514805762
3	G1	1053073035257896960
4	Eleições2018	1053073035257896960
5	G1	1053073058599260160
6	Eleições2018	1053073058599260160
7	G1	1053073066702585856
8	Eleições2018	1053073066702585856
9	G1	1053073079138766849
10	G1Rio	1053073079138766849
11	G1	1053073115826307072
12	Eleições2018	1053073115826307072
13	G1	1053073116321275904
14	Eleições2018	1053073116321275904
15	caixa2doBolsonaro	1053073117608845312
16	caixa2doBolsonaro	1053073117608845312
17	Caixa2deBolsonaro	1053073127658438656
18	G1	1053073159426064384
19	Eleições2018	1053073159426064384
20	Folha	1053073160768229376
21	Datafolha	1053073160768229376
22	Eleições2018	1053073160768229376
23	caixa2dobolsanaro	1053073237167558657
24	G1	1053073244691910657
25	marketeirodojair	1053073245816176640
26	Caixa2doBolsanaro	1053073252858413057
27	G1	1053073255500861441
28	Eleições2018	1053073255500861441
29	G1	1053073270575169537
30	Eleições2018	1053073270575169537
31	Folha	1053073275285397504
32	Datafolha	1053073275285397504
33	Eleições2018	1053073275285397504
34	Folha	1053073291861209088
35	Datafolha	1053073291861209088
36	Eleições2018	1053073291861209088
37	BOLSONARO	1053073292339363840
38	G1	1053073299679391744
39	Eleições2018	1053073299679391744
40	marqueteiradoJair	1053073305027141632
41	FolhaMarmitaDoPT	1053073307174625280
42	FolhaFakeNews	1053073307174625280
43	PTNuncaMais	1053073307174625280
44	PTFakeNews	1053073307174625280
45	CensuraPetista	1053073307174625280
46	MarketeirosDoJair	1053073307174625280
47	Caixa2doBolsanaro	1053073309846421504
48	ZapGate	1053073309846421504
49	MarqueiteirosDoJair	1053073311729704963
50	G1	1053073339110080512
51	Eleições2018	1053073339110080512
52	G1	1053073365022453760
53	Eleições2018	1053073365022453760
54	Caixa2doBolsanaro	1053073388380536832
55	Eleições2018	1053073388363759616
56	G1	1053073392188973057
57	Eleições2018	1053073392188973057
58	PT	1053073431753822208
59	BOLSONARO	1053073437219008513
60	G1	1053073453379653633
61	Eleições2018	1053073453379653633
62	MarkeiteirosDoJair	1053073455376187392
63	ptralhadaagoniza	1053073455376187392
64	OLulaEstaPresoBabaca	1053073455376187392
65	OperacaoLavaZap	1053073458291183618
66	Caixa2doBolsanaro	1053073458291183618
67	Caixa2doBolsonaro	1053074030092316672
68	B17	1053074034588635138
69	Eleições2018	1053074037579149313
70	fechafolha	1053074038212517892
71	CadeAProva	1053074046588469249
72	G1	1053074053253210114
73	MarketeirosDoJair	1053074063101493248
74	FolhaPutinhaDoPT	1053074063101493248
75	soudapazB17	1053074063101493248
76	G1	1053074066171662336
77	G1Rio	1053074066171662336
78	G1	1053074112363536384
79	Eleições2018	1053074112363536384
80	Folha	1053074116507512837
81	Datafolha	1053074116507512837
82	Eleições2018	1053074116507512837
83	MarqueteirosDoJair	1053074118013259776
84	bolsonarocaixa2	1053074145183965184
85	marketeirosdojair	1053074160392519680
86	G1	1053074174011367425
87	G1Rio	1053074174011367425
88	PTNÃONUNCAMAIS	1053074179501801472
89	G1	1053074189631004672
90	Eleições2018	1053074189631004672
91	PTNuncaMais	1053074206592827394
92	Eleições2018	1053074206592827394
93	PTNuncaMais	1053074217196052481
94	marketeirosdojair	1053074217196052481
95	MarqueteirosDoJair	1053074226217996294
96	FolhaPutinhaDoPT	1053074234463973377
97	Caixa2DoBolsonaro	1053074242319867904
98	G1	1053074247134912512
99	Eleições2018	1053074247134912512
100	caixa2deBolsonaro	1053074248124846080
101	G1	1053074259164217350
102	G1Rio	1053074259164217350
103	G1	1053074280848732161
104	Eleições2018	1053074280848732161
105	G1	1053074285483474944
106	Eleições2018	1053074285483474944
107	G1	1053074304559144960
108	Eleições2018	1053074304559144960
109	G1	1053074317733433345
110	Eleições2018	1053074317733433345
111	G1	1053074323483885568
112	G1SP	1053074323483885568
113	fakenews	1053074337559953413
114	MarkeiteirosDoJair	1053074340051382273
115	G1	1053074344853823490
116	Eleições2018	1053074344853823490
117	FolhaFakeNews	1053074349329211393
118	PTNÃO	1053074350239350785
119	NUNCAMAIS	1053074350239350785
120	MarketeirosDoJair	1053074353385025537
121	Folha	1053074356128096256
122	Datafolha	1053074356128096256
123	Eleições2018	1053074356128096256
124	Eleições2018	1053074356115513344
