id	tweet	full_name	name	place_type	country	country_code
1	1053073337742712834	Brusque, Brasil	Brusque	city	Brasil	BR
2	1053074069036392448	Recife, Brasil	Recife	city	Brasil	BR
3	1053074365062041600	Santos, Brasil	Santos	city	Brazil	BR
4	1053074601507463169	Campinas, Brasil	Campinas	city	Brasil	BR
5	1053074601671036928	Salvador, Brasil	Salvador	city	Brasil	BR
6	1053074656146669570	Rio de Janeiro, Brasil	Rio de Janeiro	city	Brasil	BR
7	1053074764812705793	São Caetano do Sul, Brasil	São Caetano do Sul	city	Brasil	BR
8	1053075334483054592	São Caetano do Sul, Brasil	São Caetano do Sul	city	Brasil	BR
9	1053075476766511104	Belo Horizonte, Brasil	Belo Horizonte	city	Brasil	BR
10	1053075660292481025	Guaratinguetá, Brasil	Guaratinguetá	city	Brasil	BR
11	1053075808884060160	Joinville, Brasil	Joinville	city	Brasil	BR
12	1053075827179569154	Guaratinguetá, Brasil	Guaratinguetá	city	Brasil	BR
13	1053076273243795457	Joinville, Brasil	Joinville	city	Brasil	BR
14	1053076464520847360	Recife, Brasil	Recife	city	Brasil	BR
15	1053077002171887616	Olinda, Brasil	Olinda	city	Brasil	BR
16	1053077430141927427	São Caetano do Sul, Brasil	São Caetano do Sul	city	Brasil	BR
17	1053077741380214784	Garanhuns, Brasil	Garanhuns	city	Brasil	BR
18	1053077926202261511	Recife, Brasil	Recife	city	Brasil	BR
19	1053078589074214912	Fortaleza, Brasil	Fortaleza	city	Brasil	BR
20	1053078835187642371	Areal, Brasil	Areal	city	Brasil	BR
21	1053079107737673729	Chapecó, Brasil	Chapecó	city	Brasil	BR
22	1053079375619473408	Rio de Janeiro, Brazil	Rio de Janeiro	city	Brazil	BR
23	1053079439670685696	Belém, Brasil	Belém	city	Brasil	BR
24	1053079646584139776	Areal, Brasil	Areal	city	Brasil	BR
25	1053079655476051968	São Paulo, Brasil	São Paulo	city	Brasil	BR
26	1053079677970079744	São Paulo, Brasil	São Paulo	city	Brasil	BR
27	1053079779497426944	Natal, Brasil	Natal	city	Brasil	BR
28	1053079879464480768	Nova Iguaçu, Brasil	Nova Iguaçu	city	Brasil	BR
29	1053080320919117825	Salvador, Brasil	Salvador	city	Brasil	BR
