id	tweet	id_user	name	screen_name
1	1053073026940583936	14594813	Folha de S.Paulo	folha
2	1053073032653258752	8802752	G1	g1
3	1053073032514805762	14594813	Folha de S.Paulo	folha
4	1053073035257896960	8802752	G1	g1
5	1053073039733207040	14594813	Folha de S.Paulo	folha
6	1053073039867498496	14594813	Folha de S.Paulo	folha
7	1053073039867498496	197526475	Ana	anallp79
8	1053073044506324995	14594813	Folha de S.Paulo	folha
9	1053073049082302465	8802752	G1	g1
10	1053073051066265600	14594813	Folha de S.Paulo	folha
11	1053073052689412102	14594813	Folha de S.Paulo	folha
12	1053073054119682048	14594813	Folha de S.Paulo	folha
13	1053073054245552128	14594813	Folha de S.Paulo	folha
14	1053073055537348609	14594813	Folha de S.Paulo	folha
15	1053073058599260160	8802752	G1	g1
16	1053073058800586752	14594813	Folha de S.Paulo	folha
17	1053073061308706816	14594813	Folha de S.Paulo	folha
18	1053073061732368386	14594813	Folha de S.Paulo	folha
19	1053073063510765568	8802752	G1	g1
20	1053073066702585856	8802752	G1	g1
21	1053073069789581312	14594813	Folha de S.Paulo	folha
22	1053073070620061696	14594813	Folha de S.Paulo	folha
23	1053073071551193090	14594813	Folha de S.Paulo	folha
24	1053073075179307009	14594813	Folha de S.Paulo	folha
25	1053073074751528961	14594813	Folha de S.Paulo	folha
26	1053073078090121217	8802752	G1	g1
27	1053073079138766849	8802752	G1	g1
28	1053073079541420033	8802752	G1	g1
29	1053073078685708289	14594813	Folha de S.Paulo	folha
30	1053073083026817031	8802752	G1	g1
31	1053073088710148099	14594813	Folha de S.Paulo	folha
32	1053073088710148099	354095556	Fernando Haddad 13	Haddad_Fernando
33	1053073092182970370	14594813	Folha de S.Paulo	folha
34	1053073100730982400	14594813	Folha de S.Paulo	folha
35	1053073101557161984	14594813	Folha de S.Paulo	folha
36	1053073103318859776	14594813	Folha de S.Paulo	folha
37	1053073107165028353	8802752	G1	g1
38	1053073108628897794	14594813	Folha de S.Paulo	folha
39	1053073110864461824	14594813	Folha de S.Paulo	folha
40	1053073111032193025	14594813	Folha de S.Paulo	folha
41	1053073112013725696	14594813	Folha de S.Paulo	folha
42	1053073115826307072	8802752	G1	g1
43	1053073116321275904	8802752	G1	g1
44	1053073117608845312	8802752	G1	g1
45	1053073117608845312	65473559	Portal R7.com	portalR7
46	1053073126383382528	14594813	Folha de S.Paulo	folha
